czas,ax,ay,az,przyspieszenie
0.0195019501950195,9851,-832,16956,19627.540880100085
0.01965196519651965,11506,-852,17021,20562.791177269686
0.019801980198019802,12872,-946,17067,21397.798695192923
0.019951995199519953,14126,-1011,17082,22189.202802263986
0.020102010201020103,15564,-962,17069,23119.56532895893
0.02025202520252025,17079,-922,17073,24166.705485026294
0.0204020402040204,17079,-922,17073,24166.705485026294
0.02055205520552055,19598,-886,17171,26071.24548233168
0.020702070207020702,19598,-886,17171,26071.24548233168
0.020852085208520853,22208,-760,17250,28130.683674592765
0.021002100210021003,22208,-760,17250,28130.683674592765
0.02115211521152115,24416,-726,17305,29935.449837942975
0.0213021302130213,24416,-726,17305,29935.449837942975
0.02145214521452145,26305,-663,17316,31499.784919900645
0.021602160216021602,26305,-663,17316,31499.784919900645
0.021752175217521753,28252,-515,17344,33155.0156839052
0.021902190219021903,28252,-515,17344,33155.0156839052
0.022052205220522054,29169,-438,17433,33984.28892885652
0.0222022202220222,29415,-456,17425,34191.82337928178
0.02235223522352235,30004,-437,17406,34690.053632129195
0.022502250225022502,30864,-341,17431,35447.743764589584
0.022652265226522653,31245,-245,17433,35780.155659247765
0.022802280228022803,31640,-167,17435,36126.12232166636
0.022952295229522954,32466,-76,17483,36874.14027472369
0.0231023102310231,32764,57,17512,37150.41169354655
0.02325232523252325,32764,227,17495,37143.05116707565
0.023402340234023402,32764,451,17479,37137.56235942257
0.023552355235523553,32764,776,17482,37144.3427186429
0.023702370237023703,32764,1148,17474,37150.21232779161
0.023852385238523854,32764,1548,17460,37158.143118299115
0.024002400240024,32764,1963,17476,37185.26107209683
0.02415241524152415,32764,2298,17473,37203.04058810247
0.024302430243024302,32764,2648,17429,37205.66678612278
0.024452445244524453,32764,3088,17408,37229.74488228465
0.024602460246024603,32764,3395,17416,37260.20366288944
0.024752475247524754,32764,3526,17402,37265.82852963288
0.024902490249024904,32078,3629,17350,36649.55968357601
0.02505250525052505,31277,3623,17295,35923.444754087825
0.025202520252025202,30272,3464,17261,35019.071960861555
0.025352535253525352,29347,3387,17252,34210.37389447827
0.025502550255025503,28676,3288,17261,33631.325293541435
0.025652565256525654,27618,2918,17223,32678.745034043153
0.025802580258025804,26192,2552,17146,31408.898165965646
